Manufacturer,Category,Screen_Size,CPU,RAM,GPU,Price,Operating_System_Linux,Operating_System_No OS,Operating_System_Windows,Operating_System_macOS
1,2,7,7,7,5,11912523.48,0,0,0,1
1,2,7,7,7,3,7993374.48,0,0,0,1
7,1,14,7,7,3,5112900.0,0,1,0,0
1,2,13,7,1,1,22563005.4,0,0,0,1
1,2,7,7,7,5,16037611.2,0,0,0,1
0,1,14,0,5,1,3556800.0,0,0,1,0
1,2,13,7,1,6,19028613.24,0,0,0,1
1,2,7,7,7,3,10303160.4,0,0,0,1
2,2,10,7,1,9,13293540.0,0,0,1,0
0,2,10,7,7,7,6846840.0,0,0,1,0
7,1,14,7,5,3,3502558.8,0,1,0,0
7,1,14,7,5,3,3067651.08,0,1,0,0
1,2,13,7,1,1,21696213.24,0,0,0,1
4,1,14,7,5,1,4436218.8,0,0,1,0
1,2,3,6,7,3,11225260.8,0,0,0,1
1,2,7,7,7,5,13502946.6,0,0,0,1
4,1,14,7,7,1,6624540.0,0,0,1,0
1,2,13,7,1,1,25413336.0,0,0,0,1
10,1,14,7,7,9,4437108.0,0,1,0,0
4,2,7,7,7,7,8705268.0,0,0,1,0
2,4,2,4,3,3,1706374.8,0,0,1,0
10,3,14,7,7,9,8883108.0,0,0,1,0
7,1,14,1,5,1,2294136.0,0,1,0,0
4,4,7,7,7,7,7282548.0,0,0,1,0
7,2,14,7,7,3,5859828.0,0,0,1,0
4,1,14,7,5,3,3722546.88,0,0,1,0
1,2,7,7,7,3,9772308.0,0,0,0,1
4,1,14,7,7,1,7113600.0,0,0,1,0
4,2,14,7,7,7,11541816.0,0,0,1,0
7,1,16,7,7,9,7967232.0,0,0,1,0
3,1,14,4,5,3,2178451.08,0,0,1,0
2,1,10,1,3,1,1769508.0,0,0,1,0
7,1,16,0,5,1,3903588.0,0,0,1,0
4,2,7,7,1,7,16619148.0,0,0,1,0
1,2,7,7,7,3,8874216.0,0,0,0,1
10,1,10,5,5,3,2214108.0,0,0,1,0
0,1,14,7,5,3,3263364.0,1,0,0,0
4,1,16,7,7,1,8705268.0,0,0,1,0
7,1,14,7,5,3,4345431.48,0,0,1,0
7,1,14,7,7,9,7816068.0,0,0,1,0
2,1,14,7,5,3,3458988.0,1,0,0,0
4,3,14,7,1,9,13329108.0,0,0,1,0
2,1,14,7,7,9,4650427.08,1,0,0,0
0,1,14,7,5,7,6064344.0,0,0,1,0
4,4,16,7,0,9,8883108.0,0,0,1,0
1,2,7,7,7,4,12617748.0,0,0,0,1
10,1,14,7,5,3,3281148.0,0,1,0,0
2,3,16,3,7,1,11550708.0,0,0,1,0
4,1,14,7,5,1,5681988.0,0,0,1,0
2,1,16,8,5,9,4143672.0,0,0,1,0
10,4,0,4,5,3,2836548.0,0,0,0,0
0,1,14,7,7,9,7478172.0,0,0,1,0
7,1,14,0,5,1,3543373.08,0,0,1,0
7,1,7,7,7,7,9807876.0,0,0,1,0
0,1,14,7,5,3,3414528.0,0,0,1,0
4,1,14,7,7,1,6827277.6,0,0,1,0
7,1,14,7,5,3,3903588.0,0,0,1,0
2,1,14,7,5,3,5212401.48,0,0,1,0
11,3,16,7,1,9,21776508.0,0,0,1,0
2,1,14,7,5,3,3690180.0,1,0,0,0
4,1,16,7,1,1,11550708.0,0,0,1,0
4,2,10,7,7,7,7816068.0,0,0,1,0
10,1,10,7,7,3,5326308.0,0,1,0,0
2,1,10,7,7,7,8367372.0,0,0,1,0
7,1,14,7,7,3,6135480.0,0,0,1,0
2,2,14,7,1,9,17632836.0,0,0,1,0
7,1,14,7,5,1,3900831.48,0,0,1,0
7,1,10,5,5,3,2036268.0,0,0,1,0
10,1,14,7,5,3,4881708.0,0,0,1,0
2,3,16,7,0,9,8438508.0,1,0,0,0
13,2,8,7,5,3,9683388.0,0,0,1,0
4,2,7,7,7,1,8491860.0,0,0,1,0
4,1,14,7,7,1,7736040.0,0,0,1,0
11,3,16,7,7,9,9736740.0,0,0,1,0
0,1,10,7,7,3,3458988.0,0,0,1,0
2,3,14,7,7,9,8438508.0,0,0,1,0
10,1,14,7,7,3,4614948.0,0,1,0,0
4,1,14,7,7,7,7602660.0,0,0,1,0
0,1,14,7,5,9,4712760.0,0,0,1,0
7,1,16,7,7,9,8687484.0,0,0,1,0
4,2,14,7,7,7,9747054.72,0,0,1,0
1,2,3,7,7,3,13426920.0,0,0,0,1
7,1,10,7,7,3,7647120.0,0,0,1,0
10,1,14,0,5,1,3547908.0,0,0,1,0
0,1,14,0,5,1,3512340.0,0,0,1,0
4,3,14,7,1,9,11995308.0,0,0,1,0
7,2,14,7,7,9,6215508.0,0,0,1,0
7,1,14,7,7,3,5326219.08,0,0,1,0
